No,Branch_Code,Original_Name,Name,Generation,Height,Weight,Type1,Type2,Ability1,Ability2,Ability_Hidden,Color,Gender_Male,Gender_Female,Gender_Unknown,Egg_Steps,Egg_Group1,Egg_Group2,Get_Rate,Base_Experience,Experience_Type,Category,Mega_Evolution_Flag,Region_Form,HP,Attack,Defense,SP_Attack,SP_Defense,Speed,Total,E_HP,E_Attack,E_Defense,E_SP_Attack,E_SP_Defense,E_Speed
61,61_0,Poliwhirl,Poliwhirl,1,1,20,Water,,Water Absorb,Damp,Swift Swim,Blue,50,50,0,20,Water1,,120,135,1059860,Ordinary,,,65,65,65,50,50,90,385,0,0,0,0,0,2
62,62_0,Poliwrath,Poliwrath,1,1.3,54,Water,Fighting,Water Absorb,Damp,Swift Swim,Blue,50,50,0,20,Water1,,45,255,1059860,Ordinary,,,90,95,95,70,90,70,510,0,0,3,0,0,0
63,63_0,Abra,Abra,1,0.9,19.5,Psychic,,Synchronize,Inner Focus,Magic Guard,Brown,75,25,0,20,Human-Like,,200,62,1059860,Ordinary,,,25,20,15,105,55,90,310,0,0,0,1,0,0
64,64_0,Kadabra,Kadabra,1,1.3,56.5,Psychic,,Synchronize,Inner Focus,Magic Guard,Brown,75,25,0,20,Human-Like,,100,140,1059860,Ordinary,,,40,35,30,120,70,105,400,0,0,0,2,0,0
65,65_0,Alakazam,Alakazam,1,1.5,48,Psychic,,Synchronize,Inner Focus,Magic Guard,Brown,75,25,0,20,Human-Like,,50,250,1059860,Ordinary,,,55,50,45,135,95,120,500,0,0,0,3,0,0
65,65_1,Alakazam,Mega Alakazam,1,1.2,48,Psychic,,Trace,,,Brown,75,25,0,20,Human-Like,,50,270,1059860,Ordinary,Mega,,55,50,65,175,105,150,600,0,0,0,3,0,0
66,66_0,Machop,Machop,1,0.8,19.5,Fighting,,Guts,No Guard,Steadfast,Gray,75,25,0,20,Human-Like,,180,61,1059860,Ordinary,,,70,80,50,35,35,35,305,0,1,0,0,0,0
67,67_0,Machoke,Machoke,1,1.5,70.5,Fighting,,Guts,No Guard,Steadfast,Gray,75,25,0,20,Human-Like,,90,142,1059860,Ordinary,,,80,100,70,50,60,45,405,0,2,0,0,0,0
68,68_0,Machamp,Machamp,1,1.6,130,Fighting,,Guts,No Guard,Steadfast,Gray,75,25,0,20,Human-Like,,45,253,1059860,Ordinary,,,90,130,80,65,85,55,505,0,3,0,0,0,0
69,69_0,Bellsprout,Bellsprout,1,0.7,4,Grass,Poison,Chlorophyll,,Gluttony,Green,50,50,0,20,Grass,,255,60,1059860,Ordinary,,,50,75,35,70,30,40,300,0,1,0,0,0,0
70,70_0,Weepinbell,Weepinbell,1,1,6.4,Grass,Poison,Chlorophyll,,Gluttony,Green,50,50,0,20,Grass,,120,137,1059860,Ordinary,,,65,90,50,85,45,55,390,0,2,0,0,0,0
71,71_0,Victreebel,Victreebel,1,1.7,15.5,Grass,Poison,Chlorophyll,,Gluttony,Green,50,50,0,20,Grass,,45,245,1059860,Ordinary,,,80,105,65,100,70,70,490,0,3,0,0,0,0
72,72_0,Tentacool,Tentacool,1,0.9,45.5,Water,Poison,Clear Body,Liquid Ooze,Rain Dish,Blue,50,50,0,20,Water3,,190,67,1250000,Ordinary,,,40,40,35,50,100,70,335,0,0,0,0,1,0
73,73_0,Tentacruel,Tentacruel,1,1.6,55,Water,Poison,Clear Body,Liquid Ooze,Rain Dish,Blue,50,50,0,20,Water3,,60,180,1250000,Ordinary,,,80,70,65,80,120,100,515,0,0,0,0,2,0
74,74_0,Geodude,Geodude,1,0.4,20,Rock,Ground,Rock Head,Sturdy,Sand Veil,Brown,50,50,0,15,Mineral,,255,60,1059860,Ordinary,,,40,80,100,30,30,20,300,0,0,1,0,0,0
74,74_1,Geodude,Alolan Geodude,7,0.4,20.3,Rock,Electric,Magnet Pull,Sturdy,Galvanize,Gray,50,50,0,15,Mineral,,255,60,1059860,Ordinary,,Alolan,40,80,100,30,30,20,300,0,0,1,0,0,0
75,75_0,Graveler,Graveler,1,1,105,Rock,Ground,Rock Head,Sturdy,Sand Veil,Brown,50,50,0,15,Mineral,,120,137,1059860,Ordinary,,,55,95,115,45,45,35,390,0,0,2,0,0,0
75,75_1,Graveler,Alolan Graveler,7,1,110,Rock,Electric,Magnet Pull,Sturdy,Galvanize,Gray,50,50,0,15,Mineral,,120,137,1059860,Ordinary,,Alolan,55,95,115,45,45,35,390,0,0,2,0,0,0
76,76_0,Golem,Golem,1,1.4,300,Rock,Ground,Rock Head,Sturdy,Sand Veil,Brown,50,50,0,15,Mineral,,45,223,1059860,Ordinary,,,80,120,130,55,65,45,495,0,0,3,0,0,0
76,76_1,Golem,Alolan Golem,7,1.7,316,Rock,Electric,Magnet Pull,Sturdy,Galvanize,Gray,50,50,0,15,Mineral,,45,223,1059860,Ordinary,,Alolan,80,120,130,55,65,45,495,0,0,3,0,0,0
77,77_0,Ponyta,Ponyta,1,1,30,Fire,,Run Away,Flash Fire,Flame Body,Yellow,50,50,0,20,Ground,,190,82,1000000,Ordinary,,,50,85,55,65,65,90,410,0,0,0,0,0,1
77,77_1,Ponyta,Galarian Ponyta,8,0.8,24,Psychic,,Run Away,Pastel Veil,Anticipation,White,50,50,0,20,Ground,,190,82,1000000,Ordinary,,Galarian,50,85,55,65,65,90,410,0,0,0,0,0,1
78,78_0,Rapidash,Rapidash,1,1.7,95,Fire,,Run Away,Flash Fire,Flame Body,Yellow,50,50,0,20,Ground,,60,175,1000000,Ordinary,,,65,100,70,80,80,105,500,0,0,0,0,0,2
78,78_1,Rapidash,Galarian Rapidash,8,1.7,80,Psychic,Fairy,Run Away,Pastel Veil,Anticipation,White,50,50,0,20,Ground,,60,175,1000000,Ordinary,,Galarian,65,100,70,80,80,105,500,0,0,0,0,0,2
79,79_0,Slowpoke,Slowpoke,1,1.2,36,Water,Psychic,Oblivious,Own Tempo,Regenerator,Pink,50,50,0,20,Monster,Water1,190,63,1000000,Ordinary,,,90,65,65,40,40,15,315,1,0,0,0,0,0
79,79_1,Slowpoke,Galarian Slowpoke,8,1.2,36,Psychic,,Gluttony,Own Tempo,Regenerator,Pink,50,50,0,20,Monster,Water1,190,63,1000000,Ordinary,,Galarian,90,65,65,40,40,15,315,1,0,0,0,0,0
80,80_0,Slowbro,Slowbro,1,1.6,78.5,Water,Psychic,Oblivious,Own Tempo,Regenerator,Pink,50,50,0,20,Monster,Water1,75,172,1000000,Ordinary,,,95,75,110,100,80,30,490,0,0,2,0,0,0
80,80_1,Slowbro,Galarian Slowbro,8,1.6,70.5,Poison,Psychic,Quick Draw,Own Tempo,Regenerator,Pink,50,50,0,20,Monster,Water1,75,172,1000000,Ordinary,,Galarian,95,100,95,100,70,30,490,0,2,0,0,0,0
80,80_2,Slowbro,Mega Slowbro,1,2,120,Water,Psychic,Shell Armor,,,Pink,50,50,0,20,Monster,Water1,75,207,1000000,Ordinary,Mega,,95,75,180,130,80,30,590,0,0,2,0,0,0
81,81_0,Magnemite,Magnemite,1,0.3,6,Electric,Steel,Magnet Pull,Sturdy,Analytic,Gray,0,0,100,20,Mineral,,190,65,1000000,Ordinary,,,25,35,70,95,55,45,325,0,0,0,1,0,0
82,82_0,Magneton,Magneton,1,1,60,Electric,Steel,Magnet Pull,Sturdy,Analytic,Gray,0,0,100,20,Mineral,,60,163,1000000,Ordinary,,,50,60,95,120,70,70,465,0,0,0,2,0,0
83,83_0,Farfetch'd,Farfetch'd,1,0.8,15,Normal,Flying,Keen Eye,Inner Focus,Defiant,Brown,50,50,0,20,Flying,Ground,45,132,1000000,Ordinary,,,52,90,55,58,62,60,377,0,1,0,0,0,0
83,83_1,Farfetch'd,Galarian Farfetch'd,8,0.8,42,Fighting,,Steadfast,,Scrappy,Brown,50,50,0,20,Flying,Ground,45,132,1000000,Ordinary,,Galarian,52,95,55,58,62,55,377,0,1,0,0,0,0
84,84_0,Doduo,Doduo,1,1.4,39.2,Normal,Flying,Run Away,Early Bird,Tangled Feet,Brown,50,50,0,20,Flying,,190,62,1000000,Ordinary,,,35,85,45,35,35,75,310,0,1,0,0,0,0
85,85_0,Dodrio,Dodrio,1,1.8,85.2,Normal,Flying,Run Away,Early Bird,Tangled Feet,Brown,50,50,0,20,Flying,,45,165,1000000,Ordinary,,,60,110,70,60,60,110,470,0,2,0,0,0,0
86,86_0,Seel,Seel,1,1.1,90,Water,,Thick Fat,Hydration,Ice Body,White,50,50,0,20,Water1,Ground,190,65,1000000,Ordinary,,,65,45,55,45,70,45,325,0,0,0,0,1,0
87,87_0,Dewgong,Dewgong,1,1.7,120,Water,Ice,Thick Fat,Hydration,Ice Body,White,50,50,0,20,Water1,Ground,75,166,1000000,Ordinary,,,90,70,80,70,95,70,475,0,0,0,0,2,0
88,88_0,Grimer,Grimer,1,0.9,30,Poison,,Stench,Sticky Hold,Poison Touch,Purple,50,50,0,20,Amorphous,,190,65,1000000,Ordinary,,,80,80,50,40,50,25,325,1,0,0,0,0,0
88,88_1,Grimer,Alolan Grimer,7,0.7,42,Poison,Dark,Poison Touch,Gluttony,Power of Alchemy,Green,50,50,0,20,Amorphous,,190,65,1000000,Ordinary,,Alolan,80,80,50,40,50,25,325,1,0,0,0,0,0
89,89_0,Muk,Muk,1,1.2,30,Poison,,Stench,Sticky Hold,Poison Touch,Purple,50,50,0,20,Amorphous,,75,175,1000000,Ordinary,,,105,105,75,65,100,50,500,1,1,0,0,0,0
89,89_1,Muk,Alolan Muk,7,1,52,Poison,Dark,Poison Touch,Gluttony,Power of Alchemy,Green,50,50,0,20,Amorphous,,75,175,1000000,Ordinary,,Alolan,105,105,75,65,100,50,500,1,1,0,0,0,0
